Heure,Protocole,Source,Destination,Drapeaux TCP,Numéro de séquence,Numéro d'accusé de réception,Taille de la fenêtre de réception,Longueur
11:42:06.683804,11,gba.solunet.com.ar.2615,107.43.74.http,P.,884510772,36,512,120
11:42:06.683824,11,gba.solunet.com.ar.2616,107.43.74.http,P.,1885396166,36,512,120
11:42:06.683841,11,gba.solunet.com.ar.2617,107.43.74.http,P.,817987225,36,512,120
11:42:06.683857,11,gba.solunet.com.ar.2618,107.43.74.http,P.,2132864374,36,512,120
11:42:06.683874,11,gba.solunet.com.ar.2619,107.43.74.http,P.,1242566005,36,512,120
11:42:06.683890,11,gba.solunet.com.ar.2620,107.43.74.http,P.,1759567823,36,512,120
11:42:06.683907,11,gba.solunet.com.ar.2621,107.43.74.http,P.,1151909946,36,512,120
11:42:06.683924,11,gba.solunet.com.ar.2622,107.43.74.http,P.,1189070135,36,512,120
11:42:06.683951,11,gba.solunet.com.ar.2623,107.43.74.http,P.,651075127,36,512,120
11:42:06.683970,11,gba.solunet.com.ar.2624,107.43.74.http,P.,1947905188,36,512,120
11:42:06.683990,11,gba.solunet.com.ar.2625,107.43.74.http,P.,581296706,36,512,120
11:42:06.684009,11,gba.solunet.com.ar.2626,107.43.74.http,P.,66975375,36,512,120
11:42:06.684029,11,gba.solunet.com.ar.2627,107.43.74.http,P.,253927097,36,512,120
11:42:06.684048,11,gba.solunet.com.ar.dict,107.43.74.http,P.,1897592815,36,512,120
11:42:06.684064,11,gba.solunet.com.ar.2629,107.43.74.http,P.,616917477,36,512,120
11:42:06.684080,11,gba.solunet.com.ar.2630,107.43.74.http,P.,1868567734,36,512,120
11:42:06.684097,11,gba.solunet.com.ar.2631,107.43.74.http,P.,1986188842,36,512,120
11:42:06.684113,11,gba.solunet.com.ar.2632,107.43.74.http,P.,1095894460,36,512,120
11:42:06.684129,11,gba.solunet.com.ar.2633,107.43.74.http,P.,1890826048,36,512,120
11:42:06.684146,11,gba.solunet.com.ar.2634,107.43.74.http,P.,194243508,36,512,120
11:42:06.684162,11,gba.solunet.com.ar.2635,107.43.74.http,P.,205737932,36,512,120
11:42:06.684178,11,gba.solunet.com.ar.2636,107.43.74.http,P.,569721151,36,512,120
11:42:06.684194,11,gba.solunet.com.ar.2637,107.43.74.http,P.,855051032,36,512,120
11:42:06.684210,11,gba.solunet.com.ar.2638,107.43.74.http,P.,499983177,36,512,120
11:42:06.684227,11,gba.solunet.com.ar.2639,107.43.74.http,P.,1074718027,36,512,120
11:42:06.684243,11,gba.solunet.com.ar.2640,107.43.74.http,P.,1910064303,36,512,120
11:42:06.684260,11,gba.solunet.com.ar.2641,107.43.74.http,P.,1037178976,36,512,120
11:42:06.684276,11,gba.solunet.com.ar.2642,107.43.74.http,P.,2107051510,36,512,120
11:42:06.684292,11,gba.solunet.com.ar.2643,107.43.74.http,P.,338653346,36,512,120
11:42:06.684309,11,gba.solunet.com.ar.2644,107.43.74.http,P.,396310051,36,512,120
11:42:06.684325,11,gba.solunet.com.ar.2645,107.43.74.http,P.,196892786,36,512,120
11:42:06.684341,11,gba.solunet.com.ar.2646,107.43.74.http,P.,624912323,36,512,120
11:42:06.684357,11,gba.solunet.com.ar.2647,107.43.74.http,P.,1418281182,36,512,120
11:42:06.684374,11,gba.solunet.com.ar.2648,107.43.74.http,P.,1247502939,36,512,120
11:42:06.684390,11,gba.solunet.com.ar.2649,107.43.74.http,P.,97958320,36,512,120
11:42:06.684406,11,gba.solunet.com.ar.2650,107.43.74.http,P.,1359696980,36,512,120
11:42:06.684423,11,gba.solunet.com.ar.2651,107.43.74.http,P.,349835797,36,512,120
11:42:06.684439,11,gba.solunet.com.ar.2652,107.43.74.http,P.,367768365,36,512,120
11:42:06.684456,11,gba.solunet.com.ar.2653,107.43.74.http,P.,455081173,36,512,120
11:42:06.684472,11,gba.solunet.com.ar.2654,107.43.74.http,P.,1262849347,36,512,120
11:42:06.684488,11,gba.solunet.com.ar.2655,107.43.74.http,P.,444010779,36,512,120
11:42:06.684504,11,gba.solunet.com.ar.2656,107.43.74.http,P.,727345824,36,512,120
11:42:06.684521,11,gba.solunet.com.ar.2657,107.43.74.http,P.,32346209,36,512,120
11:42:06.684537,11,gba.solunet.com.ar.2658,107.43.74.http,P.,760422680,36,512,120
11:42:06.684554,11,gba.solunet.com.ar.2659,107.43.74.http,P.,514200755,36,512,120
11:42:06.684570,11,gba.solunet.com.ar.2660,107.43.74.http,P.,2058081561,36,512,120
11:42:06.684586,11,gba.solunet.com.ar.2661,107.43.74.http,P.,818181888,36,512,120
11:42:06.684603,11,gba.solunet.com.ar.2662,107.43.74.http,P.,928174225,36,512,120
11:42:06.684619,11,gba.solunet.com.ar.2663,107.43.74.http,P.,1336469386,36,512,120
11:42:06.684635,11,gba.solunet.com.ar.2664,107.43.74.http,P.,1786409770,36,512,120
11:42:06.684651,11,gba.solunet.com.ar.2665,107.43.74.http,P.,324755237,36,512,120
11:42:06.684668,11,gba.solunet.com.ar.2666,107.43.74.http,P.,1452211016,36,512,120
11:42:06.684685,11,gba.solunet.com.ar.2667,107.43.74.http,P.,1443530962,36,512,120
11:42:06.684702,11,gba.solunet.com.ar.2668,107.43.74.http,P.,1153766108,36,512,120
11:42:06.684730,11,gba.solunet.com.ar.2669,107.43.74.http,P.,1082899630,36,512,120
11:42:06.684748,11,gba.solunet.com.ar.2670,107.43.74.http,P.,158165907,36,512,120
11:42:06.684765,11,gba.solunet.com.ar.2671,107.43.74.http,P.,289629244,36,512,120
11:42:06.684781,11,gba.solunet.com.ar.2672,107.43.74.http,P.,366984968,36,512,120
11:42:06.684798,11,gba.solunet.com.ar.2673,107.43.74.http,P.,349800942,36,512,120
11:42:06.684814,11,gba.solunet.com.ar.2674,107.43.74.http,P.,576730512,36,512,120
11:42:06.684830,11,gba.solunet.com.ar.2675,107.43.74.http,P.,1444083729,36,512,120
11:42:06.684859,11,gba.solunet.com.ar.2676,107.43.74.http,P.,1001269731,36,512,120
11:42:06.684878,11,gba.solunet.com.ar.2677,107.43.74.http,P.,2020684489,36,512,120
11:42:06.684897,11,gba.solunet.com.ar.2678,107.43.74.http,P.,1625641890,36,512,120
11:42:06.684917,11,gba.solunet.com.ar.2679,107.43.74.http,P.,1063644873,36,512,120
11:42:06.684936,11,gba.solunet.com.ar.2680,107.43.74.http,P.,432651757,36,512,120
11:42:06.684955,11,gba.solunet.com.ar.2681,107.43.74.http,P.,1092359524,36,512,120
11:42:06.684974,11,gba.solunet.com.ar.2682,107.43.74.http,P.,1245120321,36,512,120
11:42:06.684990,11,gba.solunet.com.ar.2683,107.43.74.http,P.,1258702515,36,512,120
11:42:06.685007,11,gba.solunet.com.ar.2684,107.43.74.http,P.,1588187279,36,512,120
11:42:06.685023,11,gba.solunet.com.ar.2685,107.43.74.http,P.,1348940311,36,512,120
11:42:06.685039,11,gba.solunet.com.ar.2686,107.43.74.http,P.,984972391,36,512,120
11:42:06.685056,11,gba.solunet.com.ar.2687,107.43.74.http,P.,1223629343,36,512,120
11:42:06.685072,11,gba.solunet.com.ar.2688,107.43.74.http,P.,2097257378,36,512,120
11:42:06.685088,11,gba.solunet.com.ar.2689,107.43.74.http,P.,71311878,36,512,120
11:42:06.685104,11,gba.solunet.com.ar.2690,107.43.74.http,P.,2102444544,36,512,120
11:42:06.685121,11,gba.solunet.com.ar.2691,107.43.74.http,P.,1658802345,36,512,120
11:42:06.685137,11,gba.solunet.com.ar.2692,107.43.74.http,P.,1706050817,36,512,120
11:42:06.685153,11,gba.solunet.com.ar.2693,107.43.74.http,P.,1024880538,36,512,120
11:42:06.685170,11,gba.solunet.com.ar.2694,107.43.74.http,P.,951760893,36,512,120
11:42:06.685186,11,gba.solunet.com.ar.2695,107.43.74.http,P.,1125618004,36,512,120
11:42:06.685202,11,gba.solunet.com.ar.2696,107.43.74.http,P.,1871207110,36,512,120
11:42:06.685218,11,gba.solunet.com.ar.2697,107.43.74.http,P.,345771930,36,512,120
11:42:06.685235,11,gba.solunet.com.ar.2698,107.43.74.http,P.,140327075,36,512,120
11:42:06.685251,11,gba.solunet.com.ar.2699,107.43.74.http,P.,261155005,36,512,120
11:42:06.685267,11,gba.solunet.com.ar.2700,107.43.74.http,P.,1791155350,36,512,120
11:42:06.685285,11,gba.solunet.com.ar.2701,107.43.74.http,P.,593526721,36,512,120
11:42:06.685301,11,gba.solunet.com.ar.2702,107.43.74.http,P.,1252865659,36,512,120
11:42:06.685318,11,gba.solunet.com.ar.2703,107.43.74.http,P.,1988673484,36,512,120
11:42:06.685335,11,gba.solunet.com.ar.2704,107.43.74.http,P.,1003267489,36,512,120
11:42:06.685352,11,gba.solunet.com.ar.2705,107.43.74.http,P.,1020861834,36,512,120
11:42:06.685369,11,gba.solunet.com.ar.2706,107.43.74.http,P.,1338056601,36,512,120
11:42:06.685385,11,gba.solunet.com.ar.2707,107.43.74.http,P.,808637873,36,512,120
11:42:06.685402,11,gba.solunet.com.ar.2708,107.43.74.http,P.,1453290138,36,512,120
11:42:06.685418,11,gba.solunet.com.ar.2709,107.43.74.http,P.,602687992,36,512,120
11:42:06.685434,11,gba.solunet.com.ar.2710,107.43.74.http,P.,1467959956,36,512,120
11:42:06.685450,11,gba.solunet.com.ar.2711,107.43.74.http,P.,186790490,36,512,120
11:42:06.685467,11,gba.solunet.com.ar.2712,107.43.74.http,P.,2146506416,36,512,120
11:42:06.685483,11,gba.solunet.com.ar.2713,107.43.74.http,P.,2293462,36,512,120
11:42:06.685499,11,gba.solunet.com.ar.2714,107.43.74.http,P.,1455305088,36,512,120
11:42:06.685515,11,gba.solunet.com.ar.2715,107.43.74.http,P.,1651277629,36,512,120
11:42:06.685532,11,gba.solunet.com.ar.2716,107.43.74.http,P.,1939151396,36,512,120
11:42:06.685548,11,gba.solunet.com.ar.2717,107.43.74.http,P.,1156415132,36,512,120
11:42:06.685564,11,gba.solunet.com.ar.2718,107.43.74.http,P.,526698180,36,512,120
11:42:06.685580,11,gba.solunet.com.ar.2719,107.43.74.http,P.,2147257919,36,512,120
11:42:06.685597,11,gba.solunet.com.ar.2720,107.43.74.http,P.,1794438931,36,512,120
11:42:06.685614,11,gba.solunet.com.ar.2721,107.43.74.http,P.,1570685761,36,512,120
11:42:06.685630,11,gba.solunet.com.ar.2722,107.43.74.http,P.,987317105,36,512,120
11:42:06.685647,11,gba.solunet.com.ar.2723,107.43.74.http,P.,1750383782,36,512,120
11:42:06.685663,11,gba.solunet.com.ar.2724,107.43.74.http,P.,589799034,36,512,120
11:42:06.685679,11,gba.solunet.com.ar.2725,107.43.74.http,P.,604807401,36,512,120
11:42:06.685696,11,gba.solunet.com.ar.2726,107.43.74.http,P.,773543240,36,512,120
11:42:06.685712,11,gba.solunet.com.ar.2727,107.43.74.http,P.,819730013,36,512,120
11:42:06.685728,11,gba.solunet.com.ar.2728,107.43.74.http,P.,1089139650,36,512,120
11:42:06.685753,11,gba.solunet.com.ar.2729,107.43.74.http,P.,1722099226,36,512,120
11:42:06.685773,11,gba.solunet.com.ar.2730,107.43.74.http,P.,832280098,36,512,120
11:42:06.685793,11,gba.solunet.com.ar.2731,107.43.74.http,P.,210837616,36,512,120
11:42:06.685812,11,gba.solunet.com.ar.2732,107.43.74.http,P.,451298501,36,512,120
11:42:06.685831,11,gba.solunet.com.ar.2733,107.43.74.http,P.,659044766,36,512,120
11:42:06.685850,11,gba.solunet.com.ar.2734,107.43.74.http,P.,675266245,36,512,120
11:42:06.685869,11,gba.solunet.com.ar.2735,107.43.74.http,P.,1503230429,36,512,120
